periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,Population 10-14 Year-Old Girls,Women of childbearing age (15–49yrs),uid_code,uid_year,,,,
2016,2016,2016,,Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,11759,,60755,201601_o36zCRjSd4G,2016_o36zCRjSd4G,,,,
2016,2016,2016,,Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,41980,,272449,201601_tAbBVBbueqD,2016_tAbBVBbueqD,,,,
2016,2016,2016,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,33141,,209133,201601_ihZsJ8alvtb,2016_ihZsJ8alvtb,,,,
2016,2016,2016,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,45297,,301163,201601_wsBsC6gjHvn,2016_wsBsC6gjHvn,,,,
2016,2016,2016,,Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,41417,,257768,201601_kqJ83J2D72s,2016_kqJ83J2D72s,,,,
2017,2017,2017,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,13788,,66748,201701_JsH2bnvNt2d,2017_JsH2bnvNt2d,,,,
2017,2017,2017,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,22759,,172222,201701_mYZacFNIB3h,2017_mYZacFNIB3h,,,,
2017,2017,2017,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,4717,,31363,201701_NjWSbQTwys4,2017_NjWSbQTwys4,,,,
2017,2017,2017,,Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,46699,,378046,201701_Y52XNJ50hYb,2017_Y52XNJ50hYb,,,,
2017,2017,2017,,Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,27590,,149778,201701_CeLsrJOH0g9,2017_CeLsrJOH0g9,,,,
2017,2017,2017,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,31158,,217677,201701_BoDytkJQ4Qi,2017_BoDytkJQ4Qi,,,,
2017,2017,2017,,Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,54312,,336596,201701_nrI2khZx3d0,2017_nrI2khZx3d0,,,,
2017,2017,2017,,Kenya,Siaya County,u4t9H8XyU9P,Siaya County,KE_County_41,,38727,,219777,201701_u4t9H8XyU9P,2017_u4t9H8XyU9P,,,,
2017,2017,2017,,Kenya,Kiambu County,qKzosKQPl6G,Kiambu County,KE_County_22,,54255,,541378,201701_qKzosKQPl6G,2017_qKzosKQPl6G,,,,
2017,2017,2017,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,44751,,308116,201701_wsBsC6gjHvn,2017_wsBsC6gjHvn,,,,
